 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
1,Bobby Wagner,33,SEA,LB,17,16,0,61,49,80.3,546,11.1,9,2,114.9,5.1,239,307,44,1,2,0,3.5,7,183,8,4.2,PBAP-2,WagnBo00
2,Zaire Franklin,27,IND,LB,16,16,0,84,65,77.4,663,10.2,7.9,1,103.4,4.6,225,438,23,0,1,1,1.5,3,179,15,7.7,FranZa00,
3,Alex Singleton,30,DEN,LB,17,16,0,85,68,80,573,8.4,6.7,2,102.6,2.3,138,435,52,1,3,1,2,6,177,15,7.8,SingAl00,
4,Foyesade Oluokun,28,JAX,LB,17,17,1,82,61,74.4,499,8.2,6.1,1,88.4,2.2,94,405,49,5,6,1,2.5,14,173,22,11.3,OluoFo00,
5,Azeez Al-Shaair,26,TEN,LILB,17,17,0,49,34,69.4,281,8.3,5.7,2,97.4,5.1,103,178,42,1,4,1,2,7,163,13,7.4,AlShAz00,
6,Roquan Smith,26,BAL,LB,16,16,1,82,63,76.8,676,10.7,8.2,2,103.5,5.2,304,372,42,1,4,1,1.5,7,158,8,4.8,PBAP-1AP DPoY-8,SmitRo07
7,T.J. Edwards,27,CHI,LB,17,17,3,87,72,82.8,644,8.9,7.4,2,90.8,2.7,162,482,68,2,6,0,2.5,11,155,13,7.7,EdwaTJ02,
8,C.J. Mosley,31,NYJ,LB,17,17,1,65,48,73.8,508,10.6,7.8,1,94.9,3.1,122,386,29,0,1,1,0.5,2,152,13,7.9,MoslC.00,
9,Bobby Okereke,27,NYG,LB,17,17,2,42,34,81,302,8.9,7.2,2,92.7,1.1,15,287,69,2,4,1,2.5,9,149,12,7.5,OkerBo00,
10,Robert Spillane,28,LVR,LB,17,17,3,55,40,72.7,410,10.3,7.5,2,83.1,3.3,112,298,36,1,3,0,3.5,8,148,12,7.5,SpilRo00,
11,Ernest Jones,24,LAR,LB,15,15,0,48,34,70.8,294,8.6,6.1,1,93.6,1.7,49,245,58,7,2,1,4.5,14,145,2,1.4,JoneEr01,
12,Terrel Bernard,24,BUF,LB,17,17,3,56,40,71.4,388,9.7,6.9,2,80.1,5,159,229,50,5,2,1,6.5,14,143,15,9.5,BernTe00,
13,Quincy Williams,27,NYJ,LB,17,16,1,88,63,71.6,450,7.1,5.1,4,93.5,2.2,72,378,29,1,2,1,2,5,139,13,8.6,AP-1,WillQu01
14,Camryn Bynum,25,MIN,S,17,17,2,92,70,76.1,698,10,7.6,3,98.9,8,386,312,5,0,0,0,0.5,1,137,13,8.7,BynuCa00,
15,Logan Wilson,27,CIN,LB,17,17,4,73,55,75.3,576,10.5,7.9,4,93.2,5.1,247,329,38,0,2,0,1,4,135,7,4.9,WilsLo00,
16,Lavonte David,33,TAM,LB,15,15,0,85,67,78.8,569,8.5,6.7,2,102.4,4.6,224,345,51,4,0,0,4.5,9,134,9,6.3,DaviLa00,
17,Patrick Queen,24,BAL,LB,17,17,1,67,52,77.6,388,7.5,5.8,2,94.5,3.2,102,286,63,4,2,0,3.5,10,133,14,9.5,PBAP-2,QueePa00
18,Jessie Bates III,26,ATL,S,17,17,6,51,33,64.7,380,11.5,7.5,3,67.1,12.4,264,116,13,1,1,0,0,2,132,11,7.7,PBAP-2,BateJe00
19,Fred Warner,27,SFO,LB,17,17,4,76,56,73.7,560,10,7.4,1,76.6,4.9,203,357,43,1,4,3,2.5,8,132,14,9.6,PBAP-1AP DPoY-6,WarnFr00
20,Alex Anzalone,29,DET,LB,16,16,0,80,56,70,546,9.8,6.8,2,97.2,3.7,158,388,75,5,9,1,3,17,129,22,14.6,AnzaAl00,
21,Devin Lloyd,25,JAX,LB,15,15,0,72,50,69.4,441,8.8,6.1,2,94.7,4.5,164,277,34,1,1,0,0,2,127,12,8.6,LloyDe00,
22,Derwin James,27,LAC,S,16,16,1,64,44,68.8,468,10.6,7.3,2,93.7,7.9,250,218,36,3,2,1,2,7,125,12,8.8,JameDe00,
23,Frankie Luvu,27,CAR,LILB,17,17,0,56,34,60.7,326,9.6,5.8,3,94.8,2.8,100,226,46,2,5,1,5.5,13,125,18,12.6,LuvuFr00,
24,Julian Love,25,SEA,S,17,12,4,69,44,63.8,606,13.8,8.8,3,82.2,10.1,398,208,4,1,1,0,0,2,123,10,7.5,PB,LoveJu00
25,Kaden Elliss,28,ATL,LB,17,17,0,54,39,72.2,281,7.2,5.2,1,90.1,3.7,77,204,39,3,2,1,4,9,122,9,6.9,ElliKa00,
26,Antoine Winfield Jr.,25,TAM,S,17,17,3,48,33,68.8,471,14.3,9.8,4,102,11.6,294,177,30,4,2,2,6,12,122,7,5.4,AP-1AP DPoY-6,WinfAn00
27,Kevin Byard,30,2TM,SS,16,16,1,63,47,74.6,512,10.9,8.1,2,102.1,7.5,298,214,10,0,0,1,0,0,122,5,3.9,ByarKe01,
27,Kevin Byard,30,TEN,SS,6,6,0,22,16,72.7,196,12.3,8.9,0,99.8,9.5,113,83,1,0,0,0,0,0,47,2,4.1,ByarKe01,
27,Kevin Byard,30,PHI,SS,10,10,1,41,31,75.6,316,10.2,7.7,2,103.3,6.4,185,131,9,0,0,1,0,0,75,3,3.8,ByarKe01,
28,Cody Barton,27,WAS,LB,13,13,1,47,37,78.7,331,8.9,7,2,101.3,2.5,92,239,27,4,0,0,0,4,121,4,3.2,BartCo00,
29,Demario Davis,34,NOR,MLB,17,17,0,46,29,63,232,8,5,2,90.1,4.7,82,150,39,3,5,0,6.5,15,121,11,8.3,PBAP-2,DaviDe00
30,Dre Greenlaw,26,SFO,LB,15,15,0,82,58,70.7,456,7.9,5.6,4,100.5,4,151,305,39,2,2,0,1.5,6,120,12,9.1,GreeDr00,
31,Germaine Pratt,27,CIN,LB,17,17,2,63,45,71.4,425,9.4,6.7,2,87.1,4.7,207,218,25,2,0,0,2,5,118,8,6.3,PratGe00,
32,Quay Walker,23,GNB,LB,14,14,1,58,43,74.1,429,10,7.4,1,93.2,3,116,313,59,2,2,0,2.5,7,118,6,4.8,WalkQu00,
33,Eric Kendricks,31,LAC,LILB,15,14,0,59,47,79.7,498,10.6,8.4,0,101.8,3.4,156,342,53,1,2,1,3.5,7,117,5,4.1,KendEr00,
34,Xavier McKinney,25,NYG,FS,17,17,3,65,41,63.1,456,11.1,7,1,69.8,8.5,241,215,42,2,0,2,0.5,3,116,8,6.5,McKiXa00,
35,Josh Metellus,25,MIN,S,17,17,1,79,65,82.3,527,8.1,6.7,3,101.8,4.6,192,335,91,14,7,0,2.5,24,116,13,10.1,MeteJo00,
36,Kamren Curl,24,WAS,S,16,16,0,46,32,69.6,373,11.7,8.1,2,108.3,8.7,244,129,17,1,2,0,1,4,115,9,7.3,CurlKa00,
37,Ja'Whaun Bentley,27,NWE,LB,16,16,0,44,33,75,338,10.2,7.7,0,96.6,4.1,117,221,77,6,5,1,4.5,16,114,13,10.2,BentJa00,
38,Reed Blankenship,24,PHI,S,15,15,3,66,42,63.6,529,12.6,8,6,99.9,11.8,330,199,6,0,1,0,0,1,113,11,8.9,BlanRe00,
39,Tremaine Edmunds,25,CHI,LB,15,15,4,65,51,78.5,450,8.8,6.9,3,85.3,3.8,170,280,34,0,0,0,0,0,113,13,10.3,EdmuTr01,
40,David Long,27,MIA,LB,17,17,0,50,34,68,386,11.4,7.7,1,97.6,4.5,170,216,65,4,4,1,1,9,113,14,11,LongDa04,
41,Jordyn Brooks,26,SEA,RILB,16,16,1,52,40,76.9,389,9.7,7.5,0,89.3,3.9,81,308,22,2,2,0,4.5,9,111,12,9.8,BrooJo01,
42,Daxton Hill,23,CIN,S,17,17,2,50,34,68,465,13.7,9.3,2,94.2,10.4,337,128,26,2,3,1,1.5,7,110,8,6.8,HillDa04,
43,Nathan Landman,25,ATL,LB,16,14,1,42,29,69,262,9,6.2,1,83.6,2.5,61,201,17,1,2,0,2,5,110,13,10.6,LandNa01,
44,Jahlani Tavai,27,NWE,LB,17,16,2,35,26,74.3,166,6.4,4.7,1,69.5,1.2,19,147,55,1,3,0,1,5,110,10,8.3,TavaJa00,
45,Damone Clark,23,DAL,LB,17,17,0,32,24,75,224,9.3,7,1,104.2,3.1,51,173,42,1,1,0,0,2,109,4,3.5,ClarDa02,
46,Kyle Dugger,27,NWE,DB,17,17,2,64,44,68.8,478,10.9,7.5,1,82.7,8.3,270,208,45,4,2,0,1.5,8,109,8,6.8,DuggKy00,
47,Josey Jewell,29,DEN,LB,16,15,0,43,29,67.4,196,6.8,4.6,2,92.8,3.4,74,122,38,1,1,0,3,5,108,4,3.6,JeweJo00,
48,Jordan Hicks,31,MIN,LB,13,13,1,42,34,81,298,8.8,7.1,1,94.2,3.9,128,170,89,4,1,1,1,6,107,6,5.3,HickJo00,
49,Kenneth Murray,25,LAC,LB,15,15,1,69,49,71,516,10.5,7.5,3,100.9,2.8,128,388,61,2,0,0,3,5,107,4,3.6,MurrKe00,
50,Blake Cashman,27,HOU,MLB,14,13,1,55,38,69.1,263,6.9,4.8,1,78.1,4,74,189,28,2,3,0,2,7,106,8,7,CashBl00,
51,Divine Deablo,25,LVR,LB,15,15,0,49,38,77.6,289,7.6,5.9,2,104.8,2.6,75,214,24,1,1,0,1,3,106,7,6.2,DeabDi00,
52,Jaquan Brisker,24,CHI,DB,15,15,1,60,37,61.7,442,11.9,7.4,6,110.6,9.4,264,178,20,1,0,1,1,3,105,10,8.7,BrisJa01,
53,Derrick Brown,25,CAR,DT,17,17,1,5,5,100,52,10.4,10.4,0,70.4,0.8,4,48,0,3,12,7,2,17,103,4,3.7,PB,BrowDe05
54,Richie Grant,26,ATL,S,17,15,1,57,39,68.4,543,13.9,9.5,6,126.6,12.8,392,151,21,1,3,0,3,7,103,11,9.6,GranRi00,
55,Ivan Pace,23,MIN,LB,17,11,1,37,30,81.1,182,6.1,4.9,0,75.9,3.1,37,145,74,1,6,0,2.5,10,102,7,6.4,PaceIv00,
56,E.J. Speed,28,IND,LB,16,11,0,59,38,64.4,285,7.5,4.8,0,75.9,3,97,188,32,2,1,0,1,4,102,14,12.1,SpeeEJ00,
57,Christian Harris,22,HOU,LB,16,12,0,55,41,74.5,365,8.9,6.6,1,97.9,1.5,27,338,29,0,1,2,2,3,101,9,8.2,HarrCh06,
58,Rayshawn Jenkins,29,JAX,SS,17,17,2,61,33,54.1,424,12.8,7,0,62.5,9,254,170,32,3,1,0,1,5,101,10,9,JenkRa00,
59,Micah McFadden,23,NYG,LB,16,14,1,35,26,74.3,178,6.8,5.1,1,82.8,1.4,9,169,53,2,4,0,1,8,101,22,17.9,McFaMi01,
60,Jeremiah Owusu-Koramoah,24,CLE,LB,16,13,2,45,35,77.8,250,7.1,5.6,3,93.5,2.9,71,179,60,1,0,1,3.5,5,101,13,11.4,PB,OwusJe00
61,Elandon Roberts,29,PIT,LB,16,15,0,48,39,81.3,343,8.8,7.1,1,103.4,3.1,142,201,32,2,3,1,2.5,8,101,7,6.5,RobeEl00,
