 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%
1,Jordyn Brooks,28,MIA,LB,11,11,0,58,46,79.3,475,10.3,8.2,1,106.5,3.3,154,321,23,3,0,0,2.5,6,125,5,3.8
2,Jack Campbell,25,DET,LB,12,12,0,40,29,72.5,245,8.4,6.1,3,113,4.7,78,167,50,5,1,0,4,10,117,3,2.5
3,Cedric Gray,23,TEN,LB,11,11,0,40,32,80,287,9,7.2,1,104.9,2.3,44,243,24,2,1,0,1,4,109,4,3.5
4,Bobby Wagner,35,WAS,MLB,11,11,1,35,24,68.6,292,12.2,8.3,2,101.1,2.6,67,225,30,1,3,0,2,6,107,3,2.7
5,Bobby Okereke,29,NYG,LB,12,12,0,48,30,62.5,291,9.7,6.1,2,93.3,3.9,115,176,16,0,0,0,1,1,103,3,2.8
6,Devin White,27,LVR,LB,11,11,1,54,39,72.2,269,6.9,5,0,75.3,2.1,105,164,44,1,3,0,1,5,103,15,12.7
7,Demario Davis,36,NOR,LB,11,11,0,27,21,77.8,199,9.5,7.4,2,122.1,3.1,27,172,16,1,1,0,0,2,102,11,9.7
8,Jamien Sherwood,25,NYJ,LB,11,10,0,40,32,80,313,9.8,7.8,2,115.9,4.8,103,210,32,1,2,2,1,4,102,7,6.4
9,Nick Bolton,25,KAN,LB,12,12,0,59,48,81.4,472,9.8,8,2,111.3,3.6,127,345,54,2,4,1,0,6,100,10,9.1
10,Nathan Landman,27,LAR,LB,11,11,0,42,31,73.8,302,9.7,7.2,3,117.4,3.2,104,198,24,3,2,1,1.5,7,98,7,6.7
11,Zack Baun,29,PHI,LB,12,12,1,40,29,72.5,198,6.8,5,0,72.7,3.8,77,121,41,0,2,0,3,5,96,12,11.1
12,Carson Schwesinger,22,CLE,LB,11,11,2,29,23,79.3,245,10.7,8.4,4,112.7,1.8,45,200,41,1,2,0,1.5,5,96,8,7.7
13,Robert Spillane,30,NWE,LB,12,12,2,47,38,80.9,372,9.8,7.9,0,81.9,3.9,144,228,30,3,0,0,1,4,95,9,8.7
14,Jordan Battle,25,CIN,S,12,12,3,31,18,58.1,366,20.3,11.8,2,81.6,13.7,205,161,8,0,0,0,0,0,92,16,14.8
15,Christian Rozeboom,28,CAR,LB,11,11,0,56,40,71.4,369,9.2,6.6,1,95,3.5,131,238,15,1,0,0,0,1,91,14,13.3
16,Foyesade Oluokun,30,JAX,LB,11,11,1,51,44,86.3,397,9,7.8,0,90.9,3,121,276,54,1,2,3,1,4,90,16,15.1
17,Roquan Smith,28,BAL,LB,10,10,0,45,32,71.1,239,7.5,5.3,1,90.9,3.8,125,114,39,2,4,0,0,6,90,7,7.2
18,Tremaine Edmunds,27,CHI,LB,10,10,4,47,36,76.6,326,9.1,6.9,1,66.4,5.6,158,168,30,1,1,1,1,3,89,5,5.3
19,Alex Singleton,32,DEN,LB,10,10,0,40,31,77.5,430,13.9,10.8,3,136.5,5.3,180,250,24,2,2,0,1,5,89,7,7.3
20,Payton Wilson,25,PIT,LB,11,4,1,38,34,89.5,301,8.9,7.9,2,106.2,5.4,178,123,40,1,1,1,1,3,89,7,7.3
21,Teddye Buchanan,23,BAL,LB,12,11,0,30,23,76.7,197,8.6,6.6,1,104.4,3.2,71,126,32,3,1,0,0.5,5,87,6,6.5
22,Chamarri Conner,25,KAN,DB,12,12,0,38,29,76.3,302,10.4,7.9,2,116.3,5.3,147,155,24,0,1,0,1,2,87,9,9.4
23,Kamren Curl,26,LAR,S,11,11,2,49,36,73.5,415,11.5,8.5,1,88.4,9.6,295,120,5,2,0,0,1,3,87,4,4.4
24,Tyrel Dodson,27,MIA,LB,10,10,0,39,32,82.1,339,10.6,8.7,3,128.5,5.8,170,169,19,2,1,0,4,7,87,8,8.4
25,Edgerrin Cooper,24,GNB,LB,12,12,0,59,46,78,302,6.6,5.1,2,99.3,2.3,87,215,32,1,1,0,0.5,3,86,11,11.3
26,Tykee Smith,24,TAM,S,11,11,1,42,26,61.9,307,11.8,7.3,0,74.2,9.4,175,132,18,2,2,3,2,6,85,6,6.6
27,Geno Stone,26,CIN,S,12,12,2,34,23,67.6,366,15.9,10.8,3,108.2,9.9,195,171,16,1,2,0,1,4,84,17,16.8
28,Quay Walker,25,GNB,LB,10,10,0,44,35,79.5,269,7.7,6.1,2,107.3,5,134,135,30,0,5,0,1.5,7,84,4,4.5
29,Barrett Carter,23,CIN,LB,12,7,0,46,41,89.1,478,11.7,10.4,2,124.5,5,193,285,17,1,0,0,0,1,83,13,13.5
30,Demetrius Knight,25,CIN,LB,12,9,2,37,27,73,278,10.3,7.5,1,80.7,3.6,47,231,11,0,2,1,0,2,83,14,14.4
31,Patrick Queen,26,PIT,LB,11,11,0,57,36,63.2,388,10.8,6.8,1,88.9,4.7,140,248,49,2,3,1,1,6,83,13,13.5
32,Germaine Pratt,29,2TM,LB,10,10,0,36,24,66.7,279,11.6,7.8,1,99.2,6.2,133,146,24,0,0,1,0,0,83,4,4.6
33,Germaine Pratt,29,LVR,LB,4,4,0,13,6,46.2,70,11.7,5.4,0,63,7.5,40,30,10,0,0,0,0,0,25,0,0
34,Germaine Pratt,29,IND,LB,6,6,0,23,18,78.3,209,11.6,9.1,1,119,5.4,93,116,14,0,0,1,0,0,58,4,6.5
35,Tre'von Moehrig,26,CAR,S,12,12,1,50,39,78,287,7.4,5.7,1,88.9,4.1,134,153,23,2,4,0,1,7,81,5,5.8
36,Evan Williams,24,GNB,S,12,11,3,30,22,73.3,295,13.4,9.8,2,86.8,11.9,245,50,4,0,0,1,0,0,80,5,5.9
37,Budda Baker,29,ARI,S,11,11,1,42,29,69,388,13.4,9.2,1,96.1,8.1,211,177,23,3,0,0,0.5,4,78,6,7.1
38,Dane Belton,25,NYG,S,12,4,0,30,21,70,206,9.8,6.9,1,100.1,8,121,85,5,1,0,0,0,1,78,2,2.5
39,Lavonte David,35,TAM,LB,11,11,1,46,37,80.4,335,9.1,7.3,3,109.7,6.2,191,144,38,3,2,0,2.5,8,78,10,11.4
40,Dee Winters,25,SFO,LB,12,12,0,64,50,78.1,336,6.7,5.3,2,99,2.8,94,242,35,3,3,0,0,6,78,11,12.4
41,Nick Cross,24,IND,S,11,11,1,44,27,61.4,330,12.2,7.5,2,90.2,8.8,206,124,20,2,2,0,2.5,7,77,8,9.4
42,Jeremy Chinn,27,LVR,S,11,11,0,39,30,76.9,333,11.1,8.5,3,127.4,5.1,148,185,14,0,0,0,0,0,76,9,10.6
